username,start,end,gained
iron sf 10a,24130879,24130879,0
iron mythz,82454872,82454872,0
wf nobank123,32215735,32215735,0
selaphiell,461270425,461270425,0
lilshmegan,4895050,4895050,0
fe life4me,22798824,22798824,0
iron arroww,54637196,54637196,0
ibs dan,25247918,25247918,0
ad vlctoriam,30932821,30932821,0
widebirb,79488012,79488012,0
koopanator,74066888,74066888,0
profit loss,51704287,51704287,0
fell er,155091098,155091098,0
pobi,47581646,47581646,0
msuf,5654709,5654709,0
alluchemical,53320614,53320614,0
uekr,569581677,569581677,0
iron sacc,27739480,27739480,0
tortoogaz,73846900,73846900,0
gimliosrs,58499716,58499716,0
poolmilk,41149903,41149903,0
rastogiiii,28143258,28143258,0
murimekko,22371774,22371774,0
excisionalmd,14766424,14766424,0
iron sciply,19226837,19226837,0
fe brent,23787436,23787436,0
kabashim,2102705,2102705,0
bojiggity,183913917,183913917,0
sirkragorn,173470279,173470279,0
salty halla,5321598,5321598,0
lvem,31803392,31803392,0
flargenator,57966548,57966548,0
lousy demon,31997169,31997169,0
fe meli,38976205,38976205,0
bamboo root,8376288,8376288,0
kwuambaum,65405139,65405139,0
hutch9212,179364541,179364541,0
xenkoz,114121189,114121189,0
addypu,47892969,47892969,0
forty lashes,109884643,109884643,0
chiefwavyy,26826013,26826013,0
nao touyama,17850487,17850487,0
lil mittsy,54901397,54901397,0
old man lamp,8850349,8850349,0
iron doggo69,170014650,170014650,0
oi boi ditto,25208599,25208599,0
jessy yak,2212074,2212074,0
fecloud,98600113,98600113,0
latest stage,47860202,47860202,0
8bit burger,31665624,31665624,0
itskabashttv,-1,-1,0
texas duude,25004272,25004272,0
goon galore,43069763,43069763,0
drinkbuschhh,53841532,53841532,0
n v fate,13234667,13234667,0
ironmink,73386685,73386685,0
chug0,45743315,45743315,0
iron carna,66589943,66589943,0
igorrrrrrr,48066404,48066404,0
boats,339219930,339219930,0
3dv7s,8676753,8676753,0
iron jokke,36820527,36820527,0
rywhyy,12775218,12775218,0
corrinja,43076036,43076036,0
nerdy moment,23202543,23202543,0
baxls,3888500,3888500,0
iron jmv,14825855,14825855,0
lilweenie,16472821,16472821,0
nonbeliefs,196128209,196128209,0
mrvonk,57471479,57471479,0
yewmanoid,31046154,31046154,0
wa rr,27841217,27841217,0
tolikatus,20983713,20983713,0
lordyeetusi,30558670,30558670,0
egcu,23242259,23242259,0
kureishi,99647501,99647501,0
flokv,20440226,20440226,0
owreck,46950809,46950809,0
69dwarfcork,24420308,24420308,0
t3feri,20855653,20855653,0
pure beliefs,97416166,97416166,0
whyleague,95995873,95995873,0
iron impaler,56652590,56652590,0
rutong,10956341,10956341,0
dal7,145682205,145682205,0
irondoxide,195881162,195881162,0
sir whang,15344197,15344197,0
ironbeav,101208447,101208447,0
goolz,46956310,46956310,0
bolletinus,33047266,33047266,0
femeta,115397486,115397486,0
dal7on,25794926,25794926,0
gg deeznuts,49559328,49559328,0
solo cups,28853332,28853332,0
uim allu,219824,219824,0
oi boi maxey,22353372,22353372,0
lordboogstar,656631,656631,0
uim phobos,592844,592844,0
dangerchonk,792605,792605,0
iron mulok,3443208,3443208,0
deltaworks,8589887,8589887,0
fe goblino,105607813,105607813,0
wayalay,40194091,40194091,0
simon kekw,4302952,4302952,0
onlyreid,20772358,20772358,0
kcxtta,60217422,60217422,0
t r i p l j,65145185,65145185,0
hooded meat,29379689,29379689,0
acinonyxuim,15447494,15447494,0
fergiejesus,16690694,16690694,0
theironpanda,50186851,50186851,0
gimp hannah,33019014,33019014,0
meta hc,20888665,20888665,0
lve died,13739289,13739289,0
ironsnill,6459110,6459110,0
bot 21326725,182452142,182452142,0
fhiv,88460294,88460294,0
zlatans nose,137792656,137792656,0
anger curls,2417708,2417708,0
scapegoteos,364198864,364198864,0
worstrng2021,25101609,25101609,0
uim pang,1808935,1808935,0
iron1ng,23934301,23934301,0
greenesim,15294484,15294484,0
iron jubee,19558027,19558027,0
duval baby,54109157,54109157,0
iron tzynt,15165511,15165511,0
arrand jr,60728857,60728857,0
pan go,32570268,32570268,0
green sensei,40156163,40156163,0
free kaioko,122539,122539,0
vagor,20177558,20177558,0
phatpixarmom,64588280,64588280,0
afraidofbeez,11744320,11744320,0
seeing pain,14985928,14985928,0
stonksyboyy,949589,949589,0
hc dickyy,22379307,22379307,0
disaster os,8339545,8339545,0
cal js guard,21229704,21229704,0
f2p forty,608814,608814,0
manua12,6577810,6577810,0
joedoma,226334,226334,0
smashy112,4744932,4744932,0
oh no i fell,3143875,3143875,0
saddest owl,8478679,8478679,0
god of dirt,23112811,23112811,0
clove otter,14923685,14923685,0
captnjackey,2132518,2132518,0
akanj12i,14741145,14741145,0
ironzoggy,8589224,8589224,0
idalya,8587465,8587465,0
big gatie,16355892,16355892,0
luckyseal im,14347614,14347614,0
1distance,20711825,20711825,0
nahlish,2971937,2971937,0
tedbungyy,3637087,3637087,0
im thew,20186928,20186928,0
yonixfree,7557145,7557145,0
gimp sinz,19608669,19608669,0
ironsmurpo,23415325,23415325,0
rockeret,15255355,15255355,0
kitaraa,18188805,18188805,0
angrygamer67,10368595,10368595,0
crushdrag940,14001857,14001857,0
islandmaggot,2612596,2612596,0
59lesswitty,13955585,13955585,0
solidluck4k,5822643,5822643,0
med beast,65571904,65571904,0
weirdliiderp,19155352,19155352,0
jmsr22,14586536,14586536,0
balbo bogins,18247213,18247213,0
dingygirl34,2376858,2376858,0
d9k,206521470,206521470,0
dasn3ves,12884079,12884079,0
ir0n rin,17768281,17768281,0
iron muskett,1922992,1922992,0
babstah,186150300,186150300,0
one tele,3241772,3241772,0
petrask 24,52959183,52959183,0
ptereim,14055789,14055789,0
floppy bag,90237828,90237828,0
lurkinafy77,2150263,2150263,0
metabadger,41603283,41603283,0
47 coins,95071107,95071107,0
ironkezz,18592541,18592541,0
struggletime,13885223,13885223,0
zezey99,18883375,18883375,0
mox hydrix,127969,127969,0
pandelume,1105115,1105115,0
donpepardo,50799140,50799140,0
raystreams,88945020,88945020,0
consistentxp,16879251,16879251,0
koukussa,41371074,41371074,0
gross diaper,31203576,31203576,0
boostd 323,76779730,76779730,0
scollar,47008228,47008228,0
n v forked,47276537,47276537,0
norzen,9389882,9389882,0
gi dickyy,14363290,14363290,0
iron misfitz,113670102,113670102,0
ankhazone,18030241,18030241,0
gk persei,8909407,8909407,0
haychey v2,20585306,20585306,0
rageboy4 0,1038224,1038224,0
perfctstormg,13472984,13472984,0
tylerj167,54067463,54067463,0
twointhebush,318333,318333,0
strovs,928198,928198,0
bicycleup,17925438,17925438,0
grey 4head,35282231,35282231,0
fart burphy,46203319,46203319,0
hcim senkets,22700350,22700350,0
bobbi coy,4259739,4259739,0
camtile,6135224,6135224,0
drewpeanutz,19275188,19275188,0
player im,4552837,4552837,0
house cey,18307621,18307621,0
muziek slet,131758714,131758714,0
gim doovy,34174694,34174694,0
djlilblood,340959562,340959562,0
cavs,222854392,222854392,0
kwalitea,3376341,3376341,0
cam833,248350867,248350867,0
